Exercise,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating  ,Grip
Single Ring L Sit Chin Up,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,Rectus Abdominis,Gymnastic Rings,Hanging,Double Arm,Continuous,Supinated
Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Ipsilateral Overhead Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Bottoms Up
Ring Pelican Curl,Advanced,Biceps,Biceps Brachii,Pectoralis Major,,Gymnastic Rings,Standing,Double Arm,Continuous,Supinated
Ring Two Finger Chin Up,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,Hanging,Double Arm,Continuous,Supinated
Bodyweight Pseudo Planche Push Up,Advanced,Chest,Pectoralis Major,Anterior Deltoids,,Bodyweight,Prone,Double Arm,Continuous,Flat Palm
Parallette Pseudo Planche Push Up,Advanced,Chest,Pectoralis Major,Anterior Deltoids,,Parallette Bars,Prone,Double Arm,Continuous,Neutral
Parallette Single Leg Close Grip Push Up,Advanced,Triceps,Triceps Brachii,Pectoralis Major,,Parallette Bars,Prone,Double Arm,Continuous,Pronated
Single Arm Macebell Single Leg Standing Bent Knee Contralateral 360,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Macebell Inside Circle to 360,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,Standing,Double Arm,Continuous,Neutral
Single Arm Landmine Single Leg Standing Bent Knee Ipsilateral Shoulder Press,Advanced,Shoulders,Anterior Deltoids,,,Landmine,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Single Arm Landmine Single Leg Standing Bent Knee Contralateral Shoulder Press,Advanced,Shoulders,Anterior Deltoids,,,Landmine,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Alternating Single Arm Landmine Single Leg Standing Bent Knee Shoulder Press,Advanced,Shoulders,Anterior Deltoids,,,Landmine,Single Leg Standing Bent Knee,Single Arm,Alternating,Neutral
Macebell Alternating 360 to Pivot Split Squat Uppercut,Advanced,Shoulders,Posterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Macebell,Split Squat,Double Arm,Continuous,Neutral
Double Clubbell Single Leg Standing Bent Knee Side Shoulder Cast to Side Flag Press,Advanced,Shoulders,Posterior Deltoids,,,Clubbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Macebell Alternating 360 to Front Flag Press,Advanced,Shoulders,Posterior Deltoids,Anterior Deltoids ,Rectus Abdominis,Macebell,Standing,Double Arm,Continuous,Neutral
Double Indian Club Crescent Swing,Advanced,Shoulders,Posterior Deltoids,Obliques,,Indian Club,Standing,Double Arm,Alternating,Neutral
Single Arm Macebell Inside Circle to 360,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,Standing,Single Arm,Continuous,Neutral
Bulgarian Bag Spin,Advanced,Shoulders,Posterior Deltoids,Obliques,,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral
Bulgarian Bag Alternating Spin,Advanced,Shoulders,Posterior Deltoids,Obliques,,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral
Double Kettlebell Feet Elevated Renegade Row,Advanced,Back,Latissimus Dorsi,,,Kettlebell,Prone,Double Arm,Alternating,Neutral
Double Kettlebell Feet Elevated Renegade Row to Push Up,Advanced,Back,Latissimus Dorsi,,,Kettlebell,Prone,Double Arm,Alternating,Neutral
Single Arm Kettlebell Snatch to Overhead Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Pronated
Barbell Zercher Alternating Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Standing,Double Arm,Continuous,No Grip
Barbell Zercher Alternating Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Standing,Double Arm,Continuous,No Grip
Barbell Zercher Walking Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Walking,Double Arm,Continuous,No Grip
Barbell Zercher Alternating Lateral Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Barbell,Walking,Double Arm,Continuous,No Grip
Slider Barbell Zercher Lateral Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,Standing,Double Arm,Continuous,No Grip
Slider Barbell Zercher Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,No Grip
Suspension Pelican Curl,Advanced,Biceps,Biceps Brachii,Pectoralis Major,Brachioradialis,Suspension Trainer,Standing,Double Arm,Continuous,Supinated
Bar Archer Pull Up,Advanced,Back,Latissimus Dorsi,,,Pull Up Bar,Hanging,Double Arm,Alternating,Pronated
Bar False Grip Pull Up,Advanced,Back,Latissimus Dorsi,,,Pull Up Bar,Hanging,Double Arm,Continuous,False Grip
Bar L Sit Chin Up,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,Rectus Abdominis,Pull Up Bar,Hanging,Double Arm,Continuous,Supinated
Bar L Sit Pull Up,Advanced,Back,Latissimus Dorsi,Biceps Brachii,Rectus Abdominis,Pull Up Bar,Hanging,Double Arm,Continuous,Pronated
Bar Tuck Back Lever with Alternating Single Leg Extensions,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,Hanging,Double Arm,Continuous,Pronated
Bar Tuck Front Lever with Alternating Single Leg Extensions,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,Hanging,Double Arm,Continuous,Pronated
Barbell Squat Clean to Push Press,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Maximus,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Squat Clean to Overhead Press,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Maximus,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Power Clean to Front Rack Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Hang Power Clean to Front Rack Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Hang Power Clean to Split Jerk,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Barbell,Staggered Stance,Double Arm,Continuous,Pronated
Barbell Hang Power Clean to Push Jerk,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Hang Power Clean to Push Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Hang Power Clean to Overhead Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Hang Squat Clean to Split Jerk,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Barbell,Staggered Stance,Double Arm,Continuous,Pronated
Barbell Hang Squat Clean to Push Jerk,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Maximus,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Hang Squat Clean to Push Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Maximus,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Hang Squat Clean to Overhead Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Maximus,Barbell,Standing,Double Arm,Continuous,Pronated
Double Kettlebell Clean to Front Rack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Neutral
Double Kettlebell Clean to Push Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,Standing,Double Arm,Continuous,Pronated
Double Kettlebell Clean to Front Rack Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Neutral
Double Kettlebell Glute Bridge Isometric Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Kettlebell,Bridge,Double Arm,Continuous,Pronated
Slider Archer Push Up,Advanced,Chest,Pectoralis Major,,,Sliders,Prone,Single Arm,Continuous,Flat Palm
Suspension Archer Push Up,Advanced,Chest,Pectoralis Major,,,Suspension Trainer,Prone,Double Arm,Alternating,Neutral
Superband Chaos Push Up,Advanced,Chest,Pectoralis Major,Triceps Brachii,,Superband,Prone,Double Arm,Continuous,Pronated
Bodyweight Pivot Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Bodyweight,Split Squat,No Arms,Continuous,No Grip
Single Arm Kettlebell Clean to Thruster,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Quadriceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Clean to Push Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,Standing,Single Arm,Continuous,Pronated
Single Arm Kettlebell Clean to Push Jerk,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,Standing,Single Arm,Continuous,Pronated
Single Arm Kettlebell Clean to Front Rack Contralateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Clean to Front Rack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Neutral
Landmine Pivot Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Landmine,Split Squat,Double Arm,Continuous,Neutral
Double Kettlebell Overhead Pivot Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,Split Squat,Double Arm,Continuous,Pronated
Single Arm Kettlebell Snatch to Overhead Ipsilateral Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Pronated
Single Arm Kettlebell Outside Snatch to Overhead Contralateral Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Pronated
Single Arm Kettlebell Outside Snatch to Overhead Ipsilateral Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Pronated
Alternating Single Arm Kettlebell Outside Swing,Novice,Glutes,Gluteus Maximus,,,Kettlebell,Standing,Single Arm,Alternating,Neutral
Kettlebell Half Kneeling Swing,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,Half Kneeling,Double Arm,Continuous,Pronated
Heavy Sandbag Shoulder March,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Heavy Sandbag,March,Single Arm,Continuous,Neutral
Heavy Sandbag Bear Hug March,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Heavy Sandbag,March,Double Arm,Continuous,Neutral
Heavy Sandbag Bear Hug Roll,Intermediate,Abdominals,Obliques,,,Heavy Sandbag,Supine,Double Arm,Continuous,Neutral
Heavy Sandbag Alternating Hang Shoulder Clean,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Heavy Sandbag,Standing,Double Arm,Continuous,Neutral
Heavy Sandbag Hang Shoulder Clean,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Heavy Sandbag,Standing,Double Arm,Continuous,Neutral
Kettlebell Dead Clean to Horn Grip Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Horn Grip
Kettlebell Dead Clean,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Kettlebell,Standing,Double Arm,Continuous,Horn Grip
Kettlebell Dead Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,Standing,Double Arm,Continuous,Horn Grip
Clubbell Barbarian Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Posterior Deltoids,Gluteus Maximus,Clubbell,Standing,Double Arm,Continuous,Neutral
Clubbell Barbarian Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Posterior Deltoids,Gluteus Maximus,Clubbell,Standing,Double Arm,Continuous,Neutral
Macebell Barbarian Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Posterior Deltoids,Gluteus Maximus,Macebell,Standing,Double Arm,Continuous,Neutral
Macebell Barbarian Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Posterior Deltoids,Gluteus Maximus,Macebell,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Overhead Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Double Arm,Continuous,Neutral
Single Arm Dumbbell Front Rack Contralateral Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Single Arm,Continuous,Neutral
Single Arm Dumbbell Front Rack Ipsilateral Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Single Arm,Continuous,Neutral
Single Arm Macebell Order Contralateral Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Macebell,Standing,Single Arm,Continuous,Neutral
Single Arm Macebell Order Ipsilateral Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Macebell,Standing,Single Arm,Continuous,Neutral
Macebell Order Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Macebell,Standing,Double Arm,Continuous,Neutral
Macebell Order Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Macebell,Standing,Double Arm,Continuous,Neutral
Barbell Zercher Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Standing,Double Arm,Continuous,No Grip
Barbell Zercher Alternating Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Standing,Double Arm,Continuous,No Grip
Bulgarian Bag Back Rack Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral
Bulgarian Bag Back Rack Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bulgarian Bag,Standing,Double Arm,Continuous,Neutral
Sandbag Back Rack Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sandbag,Standing,Double Arm,Continuous,Neutral
Sandbag Back Rack Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sandbag,Standing,Double Arm,Continuous,Neutral
Sandbag Front Rack Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sandbag,Standing,Double Arm,Continuous,Neutral
Sandbag Front Rack Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sandbag,Standing,Double Arm,Continuous,Neutral
Plate Overhead Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Weight Plate,Standing,Double Arm,Continuous,Neutral
Plate Overhead Alternating Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Weight Plate,Standing,Double Arm,Continuous,Neutral
Double Kettlebell Front Rack Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Neutral
Double Kettlebell Bottoms Up Front Rack Alternating Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up
Double Kettlebell Overhead Alternating Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Pronated
Double Kettlebell Bottoms Up Overhead Alternating Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up
Suspension Alternating Hawaiian Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,Single Leg Standing,Double Arm,Continuous,Neutral
Double Kettlebell Suitcase Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Neutral
Kettlebell Goblet Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Goblet
Kettlebell Goblet Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Goblet
Dumbbell Goblet Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Double Arm,Continuous,Goblet
Dumbbell Goblet Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Double Arm,Continuous,Goblet
Tire Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Tire,Single Leg Standing Bent Knee,No Arms,Continuous,No Grip
Tire Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Tire,Single Leg Standing Bent Knee,No Arms,Continuous,No Grip
Dumbbell Crush Grip Seated Good Morning,Novice,Back,Erector Spinae,Gluteus Maximus,Biceps Femoris,Dumbbell,Seated,Double Arm,Continuous,Crush Grip
Trap Bar Bottoms Up Z Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Trap Bar,Seated Floor,Double Arm,Continuous,Bottoms Up
Kettlebell Horn Grip Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Horn Grip
Kettlebell Horn Grip Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Horn Grip
Superband Assisted Reverse Nordic,Novice,Quadriceps,Quadriceps Femoris,,,Superband,Tall Kneeling,Double Arm,Continuous,Pronated
Single Arm Clubbell Mill to Reverse Mill,Advanced,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell,Standing,Single Arm,Continuous,Neutral
Single Arm Macebell Mill to Reverse Mill,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,Standing,Single Arm,Continuous,Neutral
Alternating Single Arm Macebell Mill,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,Standing,Single Arm,Alternating,Neutral
Single Arm Dumbbell Hang Power Clean,Intermediate,Glutes,Gluteus Maximus,,,Dumbbell,Standing,Single Arm,Continuous,Neutral
Alternating Single Arm Dumbbell Hang Power Clean,Intermediate,Glutes,Gluteus Maximus,,,Dumbbell,Standing,Single Arm,Alternating,Neutral
Double Dumbbell Suitcase Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Double Dumbbell Front Rack Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Double Kettlebell Front Rack Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Double Kettlebell Suitcase Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Single Arm Kettlebell Suitcase Contralateral Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Single Arm Kettlebell Suitcase Ipsilateral Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Single Arm Kettlebell Front Rack Contralateral Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Single Arm Kettlebell Front Rack Ipsilateral Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Double Kettlebell Overhead Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated
Single Arm Kettlebell Overhead Contralateral Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated
Single Arm Kettlebell Overhead Ipsilateral Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated
Double Kettlebell Bottoms Up Front Rack Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Bottoms Up
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Bottoms Up
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Bottoms Up
Double Kettlebell Bottoms Up Overhead Russian Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Double Arm,Continuous,Bottoms Up
Single Arm Kettlebell Bottoms Up Overhead Contralateral Russian Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Bottoms Up
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Russian Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Bottoms Up
Barbell Back Rack Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Barbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated
Barbell Front Rack Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Barbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated
Double Dumbbell Overhead Alternating Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Single Arm Dumbbell Overhead Contralateral Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Barbell Overhead Alternating Russian Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Barbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated
Barbell Overhead Russian Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Barbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated
Single Arm Dumbbell Suitcase Contralateral Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Single Arm Dumbbell Suitcase Ipsilateral Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Single Arm Dumbbell Overhead Ipsilateral Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Double Clubbell Order Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Clubbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Double Clubbell Order Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Clubbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Single Arm Clubbell Order Contralateral Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Clubbell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Single Arm Clubbell Order Ipsilateral Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Clubbell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral
Bodyweight Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Bodyweight,Single Leg Standing Bent Knee,No Arms,Continuous,No Grip
Bodyweight Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Bodyweight,Single Leg Standing Bent Knee,No Arms,Continuous,No Grip
Clubbell Order Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Clubbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Clubbell Order Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Clubbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Barbell Back Rack Alternating Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Barbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated
Barbell Front Rack Alternating Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Barbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated
Double Dumbbell Suitcase Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Double Dumbbell Front Rack Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
